image_id,gt_id,class_id,direction,size_bin,width,height,area,stratum,sampling_weight,scan_limit,scan_limit_reason,scan_limit_float32_guard_pixels,o2o_base_active,o2o_base_runner,o2o_base_margin,rho_R_base_q_active,rho_R_base_q_runner,rho_R_base_q_gap,o2m_legacy_base,o2m_pre_topk_base,o2m_assigned_positive_base,o2m_positive_count_base,o2o_event_observed,o2o_radius,o2o_right_censored,o2o_censor_radius,o2o_censor_reason,o2o_bracket_low,o2o_bracket_high,o2m_legacy_event_observed,o2m_legacy_radius,o2m_legacy_right_censored,o2m_legacy_censor_radius,o2m_legacy_censor_reason,o2m_legacy_bracket_low,o2m_legacy_bracket_high,o2m_pre_topk_event_observed,o2m_pre_topk_radius,o2m_pre_topk_right_censored,o2m_pre_topk_censor_radius,o2m_pre_topk_censor_reason,o2m_pre_topk_bracket_low,o2m_pre_topk_bracket_high,o2m_assigned_positive_event_observed,o2m_assigned_positive_radius,o2m_assigned_positive_right_censored,o2m_assigned_positive_censor_radius,o2m_assigned_positive_censor_reason,o2m_assigned_positive_bracket_low,o2m_assigned_positive_bracket_high,rho_R_event_observed,rho_R_radius,rho_R_right_censored,rho_R_competing_censored,rho_R_censor_radius,rho_R_censor_reason,rho_R_bracket_low,rho_R_bracket_high,o2o_event_active,o2o_first_divergence
860__1200_2417,81,5,left,t_8_16,13.999996185302734,16.0,223.99993896484375,t_and_s,44.130434782608695,0.25,rmax,0.0,8107,8007,0.9935652796515106,0.27557066082954407,0.001773220137692988,0.2737974406918511,8107,8107,8107,3,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0,0.25,rmax,,,,right_censored
860__1200_2417,81,5,right,t_8_16,13.999996185302734,16.0,223.99993896484375,t_and_s,44.130434782608695,0.25,rmax,0.0,8107,8007,0.9935652796515106,0.27557066082954407,0.001773220137692988,0.2737974406918511,8107,8107,8107,3,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0,0.25,rmax,,,,right_censored
860__1200_2417,81,5,up,t_8_16,13.999996185302734,16.0,223.99993896484375,t_and_s,44.130434782608695,0.25,rmax,0.0,8107,8007,0.9935652796515106,0.27557066082954407,0.001773220137692988,0.2737974406918511,8107,8107,8107,3,0,,1,0.25,rmax,,,1,0.0224609375,0,,,0.021484375,0.0224609375,1,0.0224609375,0,,,0.021484375,0.0224609375,1,0.0224609375,0,,,0.021484375,0.0224609375,0,,1,0,0.25,rmax,,,,right_censored
860__1200_2417,81,5,down,t_8_16,13.999996185302734,16.0,223.99993896484375,t_and_s,44.130434782608695,0.25,rmax,0.0,8107,8007,0.9935652796515106,0.27557066082954407,0.001773220137692988,0.2737974406918511,8107,8107,8107,3,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,0,1,0.201171875,eligibility_boundary,0.2001953125,0.201171875,,right_censored
860__1200_2417,82,5,left,t_8_16,11.999992370605469,14.0,167.99989318847656,t_and_s,44.130434782608695,0.25,rmax,0.0,8307,8407,0.9972455269812475,0.44877901673316956,0.0012361496919766068,0.44754286704119295,8307,8307,8307,3,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0,0.25,rmax,,,,right_censored
860__1200_2417,82,5,right,t_8_16,11.999992370605469,14.0,167.99989318847656,t_and_s,44.130434782608695,0.25,rmax,0.0,8307,8407,0.9972455269812475,0.44877901673316956,0.0012361496919766068,0.44754286704119295,8307,8307,8307,3,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0,0.25,rmax,,,,right_censored
860__1200_2417,82,5,up,t_8_16,11.999992370605469,14.0,167.99989318847656,t_and_s,44.130434782608695,0.25,rmax,0.0,8307,8407,0.9972455269812475,0.44877901673316956,0.0012361496919766068,0.44754286704119295,8307,8307,8307,3,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,0,1,0.078125,eligibility_boundary,0.0771484375,0.078125,,right_censored
860__1200_2417,82,5,down,t_8_16,11.999992370605469,14.0,167.99989318847656,t_and_s,44.130434782608695,0.25,rmax,0.0,8307,8407,0.9972455269812475,0.44877901673316956,0.0012361496919766068,0.44754286704119295,8307,8307,8307,3,0,,1,0.25,rmax,,,1,0.0693359375,0,,,0.068359375,0.0693359375,1,0.0693359375,0,,,0.068359375,0.0693359375,1,0.0693359375,0,,,0.068359375,0.0693359375,0,,1,0,0.25,rmax,,,,right_censored
860__1200_2417,83,5,left,t_8_16,10.0,14.0,140.0,t_and_s,44.130434782608695,0.25,rmax,0.0,8304,8204,0.9862279522485203,0.11794369667768478,0.0016243262216448784,0.1163193704560399,12052,12052,12052,3,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0,0.25,rmax,,,,right_censored
860__1200_2417,83,5,right,t_8_16,10.0,14.0,140.0,t_and_s,44.130434782608695,0.25,rmax,0.0,8304,8204,0.9862279522485203,0.11794369667768478,0.0016243262216448784,0.1163193704560399,12052,12052,12052,3,0,,1,0.25,rmax,,,1,0.1298828125,0,,,0.12890625,0.1298828125,1,0.1298828125,0,,,0.12890625,0.1298828125,1,0.1298828125,0,,,0.12890625,0.1298828125,0,,1,0,0.25,rmax,,,,right_censored
860__1200_2417,83,5,up,t_8_16,10.0,14.0,140.0,t_and_s,44.130434782608695,0.25,rmax,0.0,8304,8204,0.9862279522485203,0.11794369667768478,0.0016243262216448784,0.1163193704560399,12052,12052,12052,3,0,,1,0.25,rmax,,,1,0.0703125,0,,,0.0693359375,0.0703125,1,0.0703125,0,,,0.0693359375,0.0703125,1,0.0703125,0,,,0.0693359375,0.0703125,0,,1,0,0.25,rmax,,,,right_censored
860__1200_2417,83,5,down,t_8_16,10.0,14.0,140.0,t_and_s,44.130434782608695,0.25,rmax,0.0,8304,8204,0.9862279522485203,0.11794369667768478,0.0016243262216448784,0.1163193704560399,12052,12052,12052,3,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,0,1,0.0849609375,eligibility_boundary,0.083984375,0.0849609375,,right_censored
860__1200_2417,84,5,left,t_8_16,8.0,10.0,80.0,t_and_s,44.130434782608695,0.25,rmax,0.0,8702,,,,,,8702,8702,8702,1,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,0,0,,base_runner_missing,,,,right_censored
860__1200_2417,84,5,right,t_8_16,8.0,10.0,80.0,t_and_s,44.130434782608695,0.25,rmax,0.0,8702,,,,,,8702,8702,8702,1,1,0.2236328125,0,,,0.22265625,0.2236328125,1,0.2236328125,0,,,0.22265625,0.2236328125,1,0.2236328125,0,,,0.22265625,0.2236328125,1,0.2236328125,0,,,0.22265625,0.2236328125,0,,0,0,,base_runner_missing,,,8703,eligibility_boundary
860__1200_2417,84,5,up,t_8_16,8.0,10.0,80.0,t_and_s,44.130434782608695,0.25,rmax,0.0,8702,,,,,,8702,8702,8702,1,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,0,0,,base_runner_missing,,,,right_censored
860__1200_2417,84,5,down,t_8_16,8.0,10.0,80.0,t_and_s,44.130434782608695,0.25,rmax,0.0,8702,,,,,,8702,8702,8702,1,1,0.2236328125,0,,,0.22265625,0.2236328125,1,0.1298828125,0,,,0.12890625,0.1298828125,1,0.1298828125,0,,,0.12890625,0.1298828125,1,0.1298828125,0,,,0.12890625,0.1298828125,0,,0,0,,base_runner_missing,,,8802,eligibility_boundary
