size_group,estimand,radius,metric,n_rows,estimate,ci_low,ci_high
t_8_16,o2m_assigned_positive,0.0625,rank_changed_set_exact_same_rate,24951,0.1422413975974463,0.1317038814807409,0.15316157810330153
t_8_16,o2m_assigned_positive,0.0625,rank_minus_set_exact_change_rate,24951,0.024486524102826215,0.015258286123863414,0.03442373312323524
t_8_16,o2m_assigned_positive,0.0625,mean_jaccard,24951,0.9391016924739322,0.9361805247883662,0.9418654792088467
t_8_16,o2m_assigned_positive,0.0625,mean_retention,24951,0.9957551653163018,0.9949264586847396,0.9964910102264561
t_8_16,o2m_assigned_positive,0.0625,mean_jaccard_among_rank_changed,4613,0.9062840308819321,0.8988427559037016,0.9131620741320339
t_8_16,o2m_assigned_positive,0.0625,mean_retention_among_rank_changed,4613,0.992828671355145,0.9904745904078581,0.9950116099575097
s_16_32,o2m_legacy,0.0625,rank_changed_rate,3934,0.3181668504043269,0.28237481305143514,0.35045009844741676
s_16_32,o2m_legacy,0.0625,set_exact_changed_rate,3934,0.47635451067375667,0.4600968556346862,0.4909700075620662
s_16_32,o2m_legacy,0.0625,rank_changed_set_exact_same_rate,3934,0.16088174236360162,0.1393372880705708,0.18240266888762063
s_16_32,o2m_legacy,0.0625,rank_minus_set_exact_change_rate,3934,-0.1581876602694297,-0.1969831453046123,-0.12086051815350196
s_16_32,o2m_legacy,0.0625,mean_jaccard,3934,0.8704346660083286,0.8639208515415706,0.8771878134536206
s_16_32,o2m_legacy,0.0625,mean_retention,3934,0.946410836347592,0.9424602945278636,0.9504190404641835
s_16_32,o2m_legacy,0.0625,mean_jaccard_among_rank_changed,1252,0.8662904096715556,0.8521871112496295,0.8801221962964639
s_16_32,o2m_legacy,0.0625,mean_retention_among_rank_changed,1252,0.9420411227207292,0.9340595339965306,0.9494942635024933
s_16_32,o2m_pre_topk,0.0625,rank_changed_rate,3934,0.3181668504043269,0.28237481305143514,0.35045009844741676
s_16_32,o2m_pre_topk,0.0625,set_exact_changed_rate,3934,0.47635451067375667,0.4600968556346862,0.4909700075620662
s_16_32,o2m_pre_topk,0.0625,rank_changed_set_exact_same_rate,3934,0.16088174236360162,0.1393372880705708,0.18240266888762063
s_16_32,o2m_pre_topk,0.0625,rank_minus_set_exact_change_rate,3934,-0.1581876602694297,-0.1969831453046123,-0.12086051815350196
s_16_32,o2m_pre_topk,0.0625,mean_jaccard,3934,0.8704346660083286,0.8639208515415706,0.8771878134536206
s_16_32,o2m_pre_topk,0.0625,mean_retention,3934,0.946410836347592,0.9424602945278636,0.9504190404641835
s_16_32,o2m_pre_topk,0.0625,mean_jaccard_among_rank_changed,1252,0.8662904096715556,0.8521871112496295,0.8801221962964639
