size_group,estimand,metric,radius,estimate,ci_low,ci_high
all,o2o,survival,0.052734375,0.9695654939569341,0.9654972862885012,0.9730087895282301
all,o2o,cif_eligibility,0.052734375,0.0127121727940344,0.010804868773238455,0.014637110267519854
all,o2o,cif_topk,0.052734375,3.458767147762237e-05,0.0,0.00011975868685392259
all,o2o,cif_conflict,0.052734375,0.0005527838747050348,0.0001811468026290732,0.0010276132275440961
all,o2o,cif_within_set,0.052734375,0.017134961702848645,0.014373157506557512,0.02036879261108203
all,o2o,cif_other,0.052734375,0.0,0.0,0.0
all,o2o,survival,0.0537109375,0.9691507882322182,0.9650283779330324,0.9726640254996565
all,o2o,cif_eligibility,0.0537109375,0.012781360426114764,0.01087902902453145,0.014698992203715521
all,o2o,cif_topk,0.0537109375,3.458767147762237e-05,0.0,0.00011975868685392259
all,o2o,cif_conflict,0.0537109375,0.000587377690745217,0.00021539811397590855,0.0010678907473287405
all,o2o,cif_within_set,0.0537109375,0.017445885979444083,0.014677622003853487,0.02072864483800993
all,o2o,cif_other,0.0537109375,0.0,0.0,0.0
all,o2o,survival,0.0546875,0.9685978975418036,0.9642651473814822,0.9722023549548359
all,o2o,cif_eligibility,0.0546875,0.012919740629753814,0.010998570044161176,0.014848313694665334
