image_id,size_bin,sampling_weight,o2o_base_margin,rho_R_event_observed,rho_R_radius
12093,t_8_16,44.130434782608695,0.0065817219113796,1,0.0009765625
1216__2093_1200,t_8_16,44.130434782608695,0.9975541622489208,1,0.2412109375
1216__2093_1200,t_8_16,44.130434782608695,0.415263692053673,1,0.0283203125
1216__2093_1200,t_8_16,44.130434782608695,0.415263692053673,1,0.044921875
1216__2093_1200,t_8_16,44.130434782608695,0.3449145101627043,1,0.033203125
1216__2093_1200,t_8_16,44.130434782608695,0.4987989996433717,1,0.1630859375
1216__2093_1200,t_8_16,44.130434782608695,0.0228072390893905,1,0.1123046875
1216__2093_1200,t_8_16,44.130434782608695,0.0228072390893905,1,0.00390625
1216__2093_1200,t_8_16,44.130434782608695,0.3776224033786404,1,0.20703125
1216__2093_1200,t_8_16,44.130434782608695,0.3776224033786404,1,0.1064453125
1216__2093_1200,t_8_16,44.130434782608695,0.6622722014778949,1,0.220703125
1216__2093_1200,t_8_16,44.130434782608695,0.6622722014778949,1,0.169921875
1216__2093_1200,t_8_16,44.130434782608695,0.7919572221480154,1,0.0517578125
1216__2093_1200,t_8_16,44.130434782608695,0.4294643167838357,1,0.0751953125
1216__2093_1200,t_8_16,44.130434782608695,0.9724423194627186,1,0.1328125
1216__2093_1200,t_8_16,44.130434782608695,0.2922475859071182,1,0.2255859375
1216__2093_1200,t_8_16,44.130434782608695,0.4687205659052856,1,0.0859375
1216__2093_1200,t_8_16,44.130434782608695,0.3037589575174617,1,0.041015625
1216__2093_1200,t_8_16,44.130434782608695,0.3037589575174617,1,0.0986328125
1216__2093_1200,t_8_16,44.130434782608695,0.7860477307744176,1,0.181640625
1216__2093_1200,t_8_16,44.130434782608695,0.448195642772659,1,0.244140625
1216__2093_1200,t_8_16,44.130434782608695,0.9615519391459868,1,0.22265625
1216__2093_1200,t_8_16,44.130434782608695,0.8158493893657364,1,0.099609375
1216__2093_1200,t_8_16,44.130434782608695,0.0377945977502907,1,0.0029296875
1216__2093_1200,t_8_16,44.130434782608695,0.0377945977502907,1,0.095703125
1216__2093_1200,t_8_16,44.130434782608695,0.071603554444421,1,0.017578125
1216__2093_1200,t_8_16,44.130434782608695,0.071603554444421,1,0.0048828125
1216__2093_1200,t_8_16,44.130434782608695,0.5947371209029033,1,0.2109375
1216__2093_1200,t_8_16,44.130434782608695,0.8937399149700754,1,0.2451171875
1216__2093_1200,t_8_16,44.130434782608695,0.6447615397046815,1,0.1025390625
1216__2093_1200,t_8_16,44.130434782608695,0.8176323482025573,1,0.146484375
1216__2093_1200,t_8_16,44.130434782608695,0.8776475181902605,1,0.2021484375
1216__2093_1200,t_8_16,44.130434782608695,0.7863923117166519,1,0.068359375
1216__2093_1200,t_8_16,44.130434782608695,0.8925508503199648,1,0.185546875
1216__2093_1200,t_8_16,44.130434782608695,0.1980182062566963,1,0.0166015625
