authority,ci_high,ci_low,directional_trajectories,estimand,estimate,evidence_id,evidence_version,image_n,kind,metric,n_base_defined,n_base_undefined_excluded,panel,radius,series,size_group,size_label,source_path,source_sha256,statistical_unit,support,tau,unit,weighted_n
final_evidence_v3_bound_output,0.9765460213194656,0.9704033454933184,,o2o,0.9734828076603802,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.0400390625,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.9762896691150044,0.9699771066888232,,o2o,0.9731233364875024,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.041015625,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.97580582663828,0.9694838177959586,,o2o,0.9726434742250928,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.0419921875,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.9755527866165088,0.9691359102763772,,o2o,0.9723631290480912,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.04296875,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.9753764777138916,0.9688406925287596,,o2o,0.9721233194951518,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.0439453125,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.9750400969914024,0.9684457404151824,,o2o,0.9717628756961496,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.044921875,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.974541433872072,0.9678452789290088,,o2o,0.9712036442813328,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.0458984375,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.974157252143072,0.9673455272715796,,o2o,0.9707633450168612,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.046875,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.9736306920170412,0.9668726952091908,,o2o,0.9702834827544516,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.0478515625,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.973240475170815,0.9663105223485684,,o2o,0.969803620492042,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.048828125,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
